Gem Name,Download Count
"bundler",200082460
"multi_json",174898186
"rake",172015479
"rack",171390363
"json",164127773
"mime-types",160576789
"activesupport",152173958
"thor",147675959
"i18n",146534031
"tzinfo",138233142
"builder",136324207
"nokogiri",135866346
"diff-lcs",135096286
"rspec-core",134912939
"rspec-expectations",134024552
"rspec-mocks",133416468
"rspec",122039970
"tilt",119644465
"activerecord",112984533
"activemodel",112757033
"erubis",110761723
"rails",110585342
"sass",109030540
"actionpack",108997730
"minitest",108164752
"rspec-support",108143583
"actionmailer",105969281
"rack-test",105055827
"thread_safe",104233152
"arel",103685979
"mail",102269533
"railties",100426896
"sprockets",96467356
"execjs",81387543
"ffi",80657980
"uglifier",75504221
"coffee-script-source",74420650
"jquery-rails",74048863
"daemons",74047920
"addressable",74040061
"faraday",71584136
"sass-rails",70219028
"coffee-script",69616618
"multipart-post",69164527
"sprockets-rails",66162438
"aws-sdk",65528686
"coffee-rails",64967668
"hike",63121559
"net-ssh",63035181
"actionview",61708775
"rest-client",61323787
"rubygems-bundler",57926196
"coderay",56865071
"mini_portile",55947434
"method_source",55242920
"eventmachine",54381412
"sinatra",53951691
"pry",53504115
"slop",53336329
"activejob",51621866
"polyglot",50995862
"loofah",50583043
"treetop",50563200
"rails-dom-testing",50521649
"rdoc",50297580
"rubyzip",49805400
"globalid",49608734
"rails-html-sanitizer",49041297
"rack-protection",48779074
"redis",48778294
"jbuilder",47352884
"excon",45616034
"netrc",45404637
"highline",45177103
"rubygems-update",44937589
"hashie",44850902
"multi_xml",44303555
"mini_portile2",43189306
"net-scp",43050175
"aws-sdk-core",42831218
"sqlite3",42622040
"pg",42287845
"rails-deprecated_sanitizer",41522136
"activeresource",40421123
"aws-sdk-resources",40270705
"unf",38780491
"turbolinks",38729169
"domain_name",37355194
"rb-fsevent",36648076
"unf_ext",36645438
"mysql2",36617144
"awesome_print",36414777
"sdoc",36321505
"thin",35199756
"httparty",35121894
"formatador",34995452
"jmespath",34947882
"rspec-rails",34938452
"rb-inotify",34691378
"http-cookie",33262245
"concurrent-ruby",32720693
"jwt",32481865
"simplecov",32337680
"haml",32161438
"simplecov-html",31821122
"capybara",31713528
"json_pure",31696608
"childprocess",31554301
"docile",30925745
"factory_girl",30727746
"faraday_middleware",30486332
"newrelic_rpm",30444127
"xml-simple",29914943
"warden",28979566
"xpath",28909295
"devise",28893507
"bcrypt",28007618
"ruby-progressbar",27758166
"launchy",27754951
"byebug",27612199
"chunky_png",27527411
"kgio",27315424
"safe_yaml",27125589
"rack-cache",26972016
"orm_adapter",26896416
"listen",26540335
"unicorn",26273524
"rainbow",26082147
"mime-types-data",26048355
"crack",25971856
"raindrops",25808383
"database_cleaner",25591426
"uuidtools",25321928
"factory_girl_rails",25026241
"ipaddress",24904801
"rack-ssl",24898503
"libv8",24852713
"selenium-webdriver",24278146
"webmock",24254701
"httpclient",24160942
"redis-namespace",23930954
